file,stt,llm,tts_audio,latency
2301_audio1.wav,"aku mau book fly ke jedah minggu depan, bisa bantu schedule","Tentu, saya bisa bantu carikan jadwal penerbangan ke Jeddah untuk minggu depan. Kamu bisa cek langsung melalui aplikasi seperti Traveloka atau Skyscanner untuk melihat opsi maskapai dan harga terbaik. Jangan lupa pastikan paspor kamu masih berlaku minimal enam bulan sebelum berangkat.",data\outputs\tts_2301_audio1.wav,93.268
2301_audio14.wav,how to prepare dokumen umrah dari indonesia dengan benar,"Persiapkan paspor dengan masa berlaku minimal enam bulan, sertifikat vaksin meningitis, dan pas foto terbaru berlatar belakang putih. Gunakan jasa agen travel resmi untuk mempermudah pengurusan visa, tiket pesawat, serta pemesanan hotel secara sekaligus. Pastikan semua dokumen asli sudah siap dan diperiksa kembali sebelum keberangkatan untuk menghindari kendala di bandara.",data\outputs\tts_2301_audio14.wav,87.483
2301_audio15.wav,tolong buat checklist persiapan umrah termasuk barang wajib di bawah.,"Persiapkan dokumen utama seperti paspor, visa, dan bukti vaksin, serta barang wajib seperti kain ihram atau mukena. Jangan lupa membawa obat-obatan pribadi, alat mandi, pakaian secukupnya, dan charger ponsel. Kelompokkan dokumen penting dalam satu tas kecil agar mudah dibawa saat proses imigrasi.",data\outputs\tts_2301_audio15.wav,74.891
2301_audio2.wav,aku butuh travel umur simple tapi include madinah visit,Kamu bisa memilih paket Umrah Reguler karena biasanya sudah mencakup kunjungan ke Madinah dalam jadwalnya. Pastikan kamu memeriksa detail itinerary dan durasi menginap di Madinah sebelum melakukan pemesanan. Gunakan jasa agen travel yang memiliki izin resmi PPIU agar perjalananmu lebih praktis dan terjamin.,data\outputs\tts_2301_audio2.wav,111.233
2301_audio11.wav,kenapa fasting di ramadan itu wajib bagi muslim?,Puasa Ramadan wajib karena merupakan salah satu rukun Islam yang diperintahkan oleh Allah dalam Al-Qur'an. Tujuannya adalah agar umat Muslim dapat mencapai derajat takwa melalui pengendalian diri.,data\outputs\tts_2301_audio11.wav,183.867
2301_audio12.wav,bagaimana proses visa saudi untuk omroh dari indonesia sekarang?,Sekarang Anda bisa mengurus visa umrah melalui agen travel resmi (PPIU) atau menggunakan visa turis secara mandiri. Langkah praktisnya adalah mendaftar melalui biro perjalanan terpercaya atau menggunakan aplikasi Nusuk untuk mempermudah izin ibadah Anda.,data\outputs\tts_2301_audio12.wav,83.293
2301_audio4.wav,explain step by step cara apply visa saudi dengan benar.,"Anda bisa mengajukan visa Saudi melalui platform resmi KSA Visa atau aplikasi Nusuk sesuai jenis kunjungan Anda. Siapkan paspor dan foto terbaru, isi data secara online, unggah dokumen yang diminta, dan selesaikan pembayaran biaya visa. Pastikan data yang diinput sudah sesuai dengan paspor agar tidak terjadi kendala saat verifikasi.",data\outputs\tts_2301_audio4.wav,128.99
2301_audio5.wav,"ya, aku uri du book flight ilajidah ul usbu an kadim. hal bisa bantu ajidah afdol schedule wari halatan mubasiroh?","Saya bisa bantu carikan rekomendasi jadwal penerbangan langsung ke Jeddah untuk minggu depan. Silakan cek situs maskapai Saudia atau Garuda Indonesia untuk jadwal paling efisien, atau gunakan aplikasi Traveloka untuk perbandingan harga secara cepat.",data\outputs\tts_2301_audio5.wav,76.909
2301_audio6.wav,uridu range transport menjeda ila madinahodan,Anda bisa menggunakan kereta cepat Haramain High Speed Railway atau layanan taksi untuk menuju Madinah. Disarankan untuk memesan tiket kereta secara online melalui situs resmi mereka agar perjalanan lebih praktis dan cepat.,data\outputs\tts_2301_audio6.wav,193.482
2301_audio3.wav,can you help aku arrange transport dari jedah ke madinah tomorrow?,"Tentu, kamu bisa menggunakan kereta cepat Haramain High-Speed Railway agar perjalanan lebih cepat dan nyaman. Segera pesan tiketnya melalui aplikasi atau website resmi Haramain Train untuk memastikan ketersediaan kursi besok.",data\outputs\tts_2301_audio3.wav,112.909
2302_audio01.wav,"aku mau buka flight ke jedah minggu depan, bisa bantu schedule.","Tentu, saya bisa bantu carikan jadwal penerbangan ke Jeddah untuk minggu depan. Kamu bisa langsung cek ketersediaan maskapai seperti Saudia atau Garuda Indonesia melalui aplikasi Traveloka atau Skyscanner.",data\outputs\tts_2302_audio01.wav,98.396
2302_audio03.wav,can you help aku arrange transport dari jedah ke madinah tomorrow?,Kamu bisa menggunakan kereta cepat Haramain High-Speed Railway agar perjalanan lebih cepat dan nyaman. Sebaiknya pesan tiketnya sekarang melalui website atau aplikasi resmi HHR Train untuk memastikan ketersediaan jadwal besok.,data\outputs\tts_2302_audio03.wav,52.09
2302_audio06.wav,udhidu range transport minjida ilam madinahada,"Anda bisa menggunakan kereta cepat Haramain, bus, atau taksi pribadi untuk perjalanan dari Masjidil Haram ke Madinah. Saya sarankan menggunakan kereta cepat karena lebih cepat dan nyaman dengan waktu tempuh sekitar dua jam. Sebaiknya pesan tiket secara online melalui situs resmi Haramain High Speed Railway agar lebih praktis.",data\outputs\tts_2302_audio06.wav,93.872
2302_audio14.wav,how to prepare dokumen umrah dari indonesia dengan benar?,"Siapkan paspor dengan masa berlaku minimal 6 bulan, visa umrah melalui travel agent, dan sertifikat vaksinasi meningitis. Jangan lupa siapkan foto terbaru latar belakang putih serta dokumen pendukung seperti bukti booking hotel dan tiket pesawat.",data\outputs\tts_2302_audio14.wav,69.5
2302_audio15.wav,tolong buat checklist persiapan umrah termasuk barang wajib di bawah.,"Checklist umrah meliputi dokumen penting seperti paspor dan visa, pakaian ihram, perlengkapan ibadah, obat-obatan pribadi, serta alat mandi tanpa parfum. Pastikan juga menyiapkan charger universal dan power bank untuk mendukung perangkat elektronik Anda selama di sana.",data\outputs\tts_2302_audio15.wav,192.989
2303_audio02.wav,"aku butuh travel umrah simple, tapi include madinah visit",Kamu bisa cari paket Umrah reguler yang sudah include kunjungan ke Madinah supaya lebih praktis. Pastikan pilih travel agent resmi berizin PPIU dan cek detail jadwal serta fasilitas hotelnya sebelum memesan.,data\outputs\tts_2303_audio02.wav,81.623
2303_audio04.wav,explain step by step cara apply visa saudi dengan benar.,"Pertama, kunjungi situs resmi visa Saudi atau aplikasi Nusuk untuk mengisi formulir pendaftaran. Masukkan data paspor, lakukan pembayaran biaya visa secara online, dan tunggu proses verifikasi hingga selesai. Pastikan semua dokumen pendukung sudah benar agar tidak ada kendala.",data\outputs\tts_2303_audio04.wav,98.025
2303_audio05.wav,"ya akhir, uridu bukfrayk ilajadah al-usbu'an kadim, hal bisa bantu ajidah afdol skedol warih latan mubashirah.","Tentu, saya bisa membantu Anda menyusun jadwal kerja terbaik untuk minggu depan. Gunakan metode time blocking dengan mengalokasikan waktu khusus untuk setiap tugas prioritas agar agenda Anda lebih teratur dan efisien.",data\outputs\tts_2303_audio05.wav,119.141
2302_audio05.wav,"ya, akhi, uridubuh flight ilajidah al-usbu al-khadim hal bisa bantu ajidah afdala schedule wari hlatan mubassiruh.","Saya bisa membantu Anda mencari jadwal penerbangan yang lebih baik untuk minggu depan. Mohon berikan detail kota asal, kota tujuan, dan tanggal keberangkatan agar saya bisa segera memberikan rekomendasi jadwal terbaik.",data\outputs\tts_2302_audio05.wav,53.349
2303_audio03.wav,can you help me arrange transport dari jeddah ke madinah tomorrow?,"Anda bisa menggunakan kereta cepat Haramain High Speed Railway dengan memesan tiket melalui situs resmi atau aplikasinya untuk perjalanan paling efisien. Jika ingin lebih fleksibel, Anda dapat memesan taksi melalui aplikasi Uber atau Careem untuk layanan jemputan langsung.",data\outputs\tts_2303_audio03.wav,77.573
2302_audio04.wav,expense step by step cara apply visa saudi dengan benar.,"Siapkan paspor dan foto terbaru, lalu daftar secara online melalui portal resmi visa.saudi atau aplikasi Nusuk. Lengkapi data diri dan lakukan pembayaran biaya visa langsung di situs tersebut sesuai jenis visa yang Anda pilih.",data\outputs\tts_2302_audio04.wav,65.68
2303_audio06.wav,uridu orange transport min jeddah ila madinah radhan,Anda bisa menggunakan layanan Orange Transport untuk perjalanan dari Jeddah ke Madinah. Silakan lakukan pemesanan melalui situs web resmi atau kontak mereka untuk memastikan ketersediaan jadwal dan armada.,data\outputs\tts_2303_audio06.wav,33.945
2303_audio07.wav,"buk flight ke jeddah lalu lanjut ke madinah, schedule terbaik kapan?",Sebaiknya pilih jadwal penerbangan yang tiba di Jeddah pada pagi atau siang hari agar memiliki waktu cukup untuk melanjutkan perjalanan. Gunakan kereta cepat Haramain High-Speed Railway dari Jeddah ke Madinah agar perjalanan Anda lebih praktis dan efisien.,data\outputs\tts_2303_audio07.wav,91.507
2303_audio13.wav,jelaskan step by step cara booking flight ke jeddah secara online,"Anda bisa buka situs maskapai atau aplikasi travel seperti Traveloka, pilih rute ke Jeddah dan tentukan tanggalnya, lalu pilih jadwal penerbangan yang diinginkan. Setelah itu, isi data diri sesuai paspor dan selesaikan pembayaran untuk mendapatkan e-ticket di email Anda.",data\outputs\tts_2303_audio13.wav,51.185
2303_audio19.wav,ahianan saya bingung mulai dari mana untuk umrah,"Mulailah dengan menentukan anggaran dan mencari agen travel umrah yang resmi serta terpercaya. Setelah itu, pastikan paspor Anda memiliki masa berlaku minimal enam bulan untuk memudahkan pengurusan visa.",data\outputs\tts_2303_audio19.wav,59.98
2304_audio01.wav,aku mau buka flight ke jedah minggu depan. bisa bantu schedule?,"Tentu, kamu bisa cek jadwal penerbangan minggu depan melalui aplikasi travel atau situs resmi maskapai seperti Saudia dan Garuda Indonesia. Segera pesan tiketnya untuk mendapatkan harga terbaik dan pastikan visa perjalanan kamu sudah siap.",data\outputs\tts_2304_audio01.wav,43.188
2304_audio02.wav,aku butuh travel umrah simpel tapi include madinah visit,Kamu bisa mencari paket Umrah Reguler yang sudah menyertakan program ziarah Madinah dalam itinerary. Pastikan kamu memilih travel agent yang memiliki izin resmi PPIU dan memeriksa detail paket untuk memastikan durasi menginap di Madinah sudah sesuai keinginanmu.,data\outputs\tts_2304_audio02.wav,109.698
2304_audio04.wav,explain step by step cara apply visa saudi dengan benar.,"Ajukan visa secara online melalui situs resmi MOFA Saudi atau platform Nusuk dengan menyiapkan paspor, foto terbaru, dan dokumen pendukung. Setelah mengisi data, lakukan pembayaran biaya visa dan tunggu proses verifikasi hingga visa terbit. Kamu juga bisa menggunakan layanan resmi melalui provider Tasheer untuk mempermudah prosesnya.",data\outputs\tts_2304_audio04.wav,83.243
2304_audio05.wav,"ya, aku ingin menerbang ke jendah al-usbu al-qadim. bisa membantu jendah afdal kejadian dari selatan mubashiroh?","Tentu, Anda bisa mencari penerbangan langsung ke Jeddah melalui aplikasi travel atau situs maskapai untuk mendapatkan jadwal terbaik. Sebaiknya pesan tiket segera agar mendapatkan harga paling afdal untuk keberangkatan minggu depan.",data\outputs\tts_2304_audio05.wav,82.435
